,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
713,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Kithen_Tiles']
716,['14.5'],['Wall'],['Digital Wall Tiles'],['Coffee'],['Matt'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
721,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'White']",['Matt'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
730,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
732,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
733,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
741,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
742,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
743,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
744,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Kithen_Tiles']
745,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Kithen_Tiles']
746,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Kithen_Tiles']
747,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Kithen_Tiles']
748,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
751,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
753,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['Kithen_Tiles']
754,['14.5'],['Wall'],['Digital Wall Tiles'],['Aqua'],['Sugar'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
761,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
762,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
763,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
787,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Green'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
788,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy                                                                                                                              Matt'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
796,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Kithen_Tiles']
798,['14.5'],['Wall'],['Digital Wall Tiles'],"['Brown', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
806,['14.5'],['Wall'],['Digital Wall Tiles'],['White'],['Sugar'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
813,['14.5'],['Wall'],['Digital Wall Tiles'],"['Blue', 'Cream']",['Sugar'],['300 x 600'],['5'],['0.90'],['Kithen_Tiles']
816,['30'],['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
821,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Black'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['Bedroom_Tiles']
822,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],['800 x 800'],['3'],['1.92'],['Bedroom_Tiles']
829,"['42', '43']",['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],"['800 x 800', '800 x 1200']","['3', '2']","['1.92', '1.92']",['Bedroom_Tiles']
832,"['30', '42']",['Floor'],['Double Charged Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '800 x 800']","['4', '3']","['1.44', '1.92']",['Bedroom_Tiles']
834,['30'],['Floor'],['Double Charged Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
835,['42'],['Floor'],['Double Charged Vitrified Tiles'],['Cream'],['Glossy'],['800 x 800'],['3'],['1.92'],['Bedroom_Tiles']
838,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
844,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
848,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bedroom_Tiles']
849,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bedroom_Tiles']
850,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bedroom_Tiles']
854,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Bedroom_Tiles']
857,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
859,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
860,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
863,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
864,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
865,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
866,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bedroom_Tiles']
867,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bedroom_Tiles']
868,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bedroom_Tiles']
869,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Bedroom_Tiles']
870,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
873,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
874,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['Bedroom_Tiles']
879,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
880,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
881,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
905,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Green'],['Glossy'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
906,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy                                                                                                                              Matt'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
914,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['High Glossy'],['600 x 1200'],['2'],['1.44'],['Bedroom_Tiles']
