,Avg. Weight (Kgs),Suitability,Category,Color,Finish,Sizes (mm),Qty. Per Box (Pcs),Coverage Area (Sq.mt),Variant_Application
39,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
40,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
41,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
42,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
43,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Beige'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
44,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
45,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
46,['32'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Carving'],['600 x 1200'],['2'],['1.44'],['Living_Room']
47,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
48,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
49,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
50,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Wood - Punch Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
51,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Wood'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
52,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Grey'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Living_Room']
53,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Brown'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Living_Room']
54,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Black'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Living_Room']
55,"['32', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Wood - Punch Matt'],"['600 x 1200', '198 x 1200']","['2', '6']","['1.44', '1.44']",['Living_Room']
56,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Blue'],['Glossy                                                                                                                             Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
57,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
58,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Matt'],['600 x 600'],['4'],['1.44'],['Living_Room']
59,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['White'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
60,['30'],['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],['600 x 600'],['4'],['1.44'],['Living_Room']
61,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
62,"['30', '32']",['Floor and Wall'],['Glazed Vitrified Tiles'],['Cream'],['Glossy'],"['600 x 600', '600 x 1200']","['4', '2']","['1.44', '1.44']",['Living_Room']
